treatment_name,treatment,timestamp,ChannelID,nickname,body
T1: First+nofine,1,1676252741,1,プレイヤー 2,評価額いくらでしたか？
T1: First+nofine,1,1676252776,1,プレイヤー 1,38，4です！
T1: First+nofine,1,1676252792,1,プレイヤー 1,いくらですか？？
T1: First+nofine,1,1676252802,1,プレイヤー 2,自分は４１.５なので、自分が勝手２０ポイント差し上げたいです！
T1: First+nofine,1,1676252807,1,プレイヤー 2,勝って
T1: First+nofine,1,1676252816,1,プレイヤー 1,わかりました！
T1: First+nofine,1,1676252731,2,プレイヤー 2,97.08です
T1: First+nofine,1,1676252739,2,プレイヤー 1,38.83でした．．．
T1: First+nofine,1,1676252757,2,プレイヤー 2,評価額高い方が0.01とかで入札して、半分に山分けしましょう
T1: First+nofine,1,1676252766,2,プレイヤー 1,ありがとうございます！
T1: First+nofine,1,1676252769,2,プレイヤー 2,今回は私が入札しますね
T1: First+nofine,1,1676252776,2,プレイヤー 2,0入力してください
T1: First+nofine,1,1676252779,2,プレイヤー 1,少しでも恵んでくだされば助かります
T1: First+nofine,1,1676252737,3,プレイヤー 2,逆でした，ごめんなさい
T1: First+nofine,1,1676252747,3,プレイヤー 2,評価額97.91
T1: First+nofine,1,1676252758,3,プレイヤー 1,評価額１．０です
T1: First+nofine,1,1676252778,3,プレイヤー 1,こちらの入札額を０にします。
T1: First+nofine,1,1676252783,3,プレイヤー 2,じゃあ，私1にします
T1: First+nofine,1,1676252793,3,プレイヤー 1,０．１でいいと思いますよ
T1: First+nofine,1,1676252732,4,プレイヤー 1,７８．９です
T1: First+nofine,1,1676252743,4,プレイヤー 2,92.63です
T1: First+nofine,1,1676252759,4,プレイヤー 1,こっち入札0にするんで半分ください
T1: First+nofine,1,1676252769,4,プレイヤー 2,わかりました
T1: First+nofine,1,1676252774,4,プレイヤー 1,ありがとうございます
T1: First+nofine,1,1676252734,5,プレイヤー 2,なにか提案はありますか？
T1: First+nofine,1,1676252750,5,プレイヤー 1,商品の評価額はいくらでしたか？
T1: First+nofine,1,1676252760,5,プレイヤー 2,50以下です
T1: First+nofine,1,1676252765,5,プレイヤー 2,あなたは？
T1: First+nofine,1,1676252774,5,プレイヤー 1,同じく50以下です
T1: First+nofine,1,1676252800,5,プレイヤー 1,一ラウンドでは一桁でした笑
T1: First+nofine,1,1676252803,5,プレイヤー 2,利得が10になるように入札します
T1: First+nofine,1,1676252807,5,プレイヤー 2,笑
T1: First+nofine,1,1676252947,6,プレイヤー 1,評価額いくらでしたか？
T1: First+nofine,1,1676252958,6,プレイヤー 2,81.47です
T1: First+nofine,1,1676252936,7,プレイヤー 2,１７．４７です
T1: First+nofine,1,1676252949,7,プレイヤー 1,17.53です
T1: First+nofine,1,1676252967,7,プレイヤー 1,僕が入札して半分譲渡するのはどうでしょう？
T1: First+nofine,1,1676252968,7,プレイヤー 2,こっち入札0にするんで半分ください
T1: First+nofine,1,1676252976,7,プレイヤー 1,そのつもりです
T1: First+nofine,1,1676252998,7,プレイヤー 2,入札は小数点以下でもできそうなので0.1とかでお願いします
T1: First+nofine,1,1676252949,8,プレイヤー 2,私の評価額は15.13です
T1: First+nofine,1,1676252967,8,プレイヤー 1,私の評価額は65.72です
